"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"7722",7722,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914171974328320,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","neha_shelke",71,TRUE,FALSE,NA,NA
"7723",7723,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914171974230016,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NileshVishal31",71,TRUE,FALSE,NA,NA
"7724",7724,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914171907178496,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Neha_Rathi786",71,TRUE,FALSE,NA,NA
"7725",7725,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914171903033344,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nayana_raut",71,TRUE,FALSE,NA,NA
"7726",7726,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914171890343936,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","LKharate",71,TRUE,FALSE,NA,NA
"7727",7727,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914171823239168,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MohiniSalame",71,TRUE,FALSE,NA,NA
"7728",7728,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914171789676544,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","latika_shig",71,TRUE,FALSE,NA,NA
"7729",7729,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914171680636928,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","KumarParam46",71,TRUE,FALSE,NA,NA
"7730",7730,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914171680628736,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","KhairLatika",71,TRUE,FALSE,NA,NA
"7731",7731,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914171676434432,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","KhatarkarRiya",71,TRUE,FALSE,NA,NA
